iter	Logloss
0	0.6606480877
1	0.6246138242
2	0.5947619204
3	0.5658623775
4	0.5402649293
5	0.5159316593
6	0.4934848295
7	0.4691979566
8	0.4516296323
9	0.4368877953
10	0.4220976872
11	0.4042299587
12	0.3890442019
13	0.3776693883
14	0.3680084965
15	0.3571227035
16	0.3426586172
17	0.3314986197
18	0.3228547413
19	0.3167801395
20	0.3084516528
21	0.2995955621
22	0.2919246533
23	0.2835440945
24	0.2787837407
25	0.2714830564
26	0.2666805624
27	0.2606465491
28	0.2558311442
29	0.2520786509
30	0.2481112332
31	0.2429217785
32	0.2391419029
33	0.2356487511
34	0.2318787442
35	0.2291883739
36	0.22704629
37	0.222465862
38	0.2191995597
39	0.2150619062
40	0.2124298186
41	0.2096926859
42	0.206082938
43	0.2026765872
44	0.2009476286
45	0.198101351
46	0.1962647788
47	0.1944402522
48	0.1929123382
49	0.1899816525
50	0.1879141143
51	0.1860161409
52	0.184859381
53	0.1833299803
54	0.1815533572
55	0.1808625432
56	0.1793959651
57	0.176870217
58	0.1745059807
59	0.17274378
60	0.1715043414
61	0.1700659003
62	0.1684209167
63	0.1666256559
64	0.1656325886
65	0.1631108978
66	0.1620808717
67	0.1605386267
68	0.1585676968
69	0.1575167421
70	0.1550081085
71	0.1544570272
72	0.1528215393
73	0.1506440255
74	0.1488854478
75	0.1474813613
76	0.1463648546
77	0.1451788819
78	0.1441673606
79	0.1430574962
80	0.1419761322
81	0.1409184553
82	0.1392925256
83	0.1380096205
84	0.1371198244
85	0.1364931532
86	0.1355794865
87	0.1343318196
88	0.1334011084
89	0.1322137634
90	0.1313785409
91	0.1303861405
92	0.128695792
93	0.128170374
94	0.1272789493
95	0.1262979874
96	0.1245431794
97	0.1235253564
98	0.1225295476
99	0.1212317877
100	0.1202321222
101	0.119164126
102	0.1184621298
103	0.1174038561
104	0.1167229423
105	0.1161093996
106	0.1151047197
107	0.1144043828
108	0.1138079942
109	0.1132622158
110	0.112419797
111	0.1115503624
112	0.1103975232
113	0.1100667672
114	0.1091676339
115	0.108651893
116	0.1080836363
117	0.1073936964
118	0.1066370194
119	0.105973603
120	0.1056464771
121	0.1050461525
122	0.1040913493
123	0.1029102964
124	0.102447231
125	0.1021273318
126	0.1015289955
127	0.1007898836
128	0.09990082553
129	0.09934012827
130	0.09888356282
131	0.09832032311
132	0.09770696918
133	0.09721295175
134	0.09668806005
135	0.09589611443
136	0.09530376198
137	0.09437107965
138	0.09363630688
139	0.09288562032
140	0.09215698599
141	0.09178569481
142	0.0914251756
143	0.09086814946
144	0.09020269512
145	0.08947057508
146	0.08859904675
147	0.08802693199
148	0.08752505511
149	0.08675489504
150	0.08648370525
151	0.08601236548
152	0.08555637358
153	0.08492009837
154	0.08447197763
155	0.08370343534
156	0.08325511394
157	0.08289539479
158	0.08258117863
159	0.08216032149
160	0.08168869774
161	0.08128563495
162	0.08081676715
163	0.07998282359
164	0.07917627864
165	0.0787638781
166	0.07838591808
167	0.07784197502
168	0.07725011559
169	0.07706673562
170	0.07676403069
171	0.07632990579
172	0.07603609971
173	0.07558934086
174	0.07535497688
175	0.07480345315
176	0.07448896343
177	0.07393770396
178	0.07320839994
179	0.07287574912
180	0.07229724968
181	0.07189167625
182	0.07149383728
183	0.07119018555
184	0.0708125428
185	0.07050604679
186	0.07019926828
187	0.06989253646
188	0.06931564886
189	0.06866927619
190	0.06829333882
191	0.06746022452
192	0.06712179102
193	0.06666223196
194	0.06617818254
195	0.06553606626
196	0.06488728058
197	0.06470737889
198	0.06443171159
199	0.06386213444
